Date,Type,Time (mins)
03/23/21,Work,160
03/23/21,Study,40
03/24/21,Work,164
03/24/21,Study,40
03/25/21,Work,116
03/25/21,Study,30
03/26/21,Work,120
03/26/21,Study,40
03/27/21,Study,60
03/28/21,Study,60
